iter	Logloss
0	0.678106227
1	0.6650010199
2	0.6507928639
3	0.6383028561
4	0.6275446644
5	0.6186088365
6	0.6107725869
7	0.6020108311
8	0.5925537516
9	0.5830487131
10	0.5761529797
11	0.5690453263
12	0.5621800054
13	0.5555533028
14	0.5490360392
15	0.5427332267
16	0.5373761211
17	0.5325479268
18	0.5281802844
19	0.5243785091
20	0.5202407314
21	0.5168318151
22	0.5121984821
23	0.5086235799
24	0.5051242303
25	0.5016357246
26	0.4978567389
27	0.4951182578
28	0.4920352308
29	0.4892395846
30	0.4867808336
31	0.4832220518
32	0.4808169103
33	0.4785552976
34	0.4763682714
35	0.4744527213
36	0.4719368169
37	0.4696046196
38	0.4679133625
39	0.4656459599
40	0.4637274352
41	0.4618829195
42	0.4601302527
43	0.4583095295
44	0.4564960215
45	0.4551048922
46	0.4531009478
47	0.4516792928
48	0.4502940339
49	0.4489063025
50	0.4477591931
51	0.4464748538
52	0.445434475
53	0.4441963848
54	0.4431218444
55	0.4414448202
56	0.4396569183
57	0.4384011873
58	0.4370576562
59	0.4358335905
60	0.4341809993
61	0.4335406616
62	0.4327982551
63	0.4315906701
64	0.4306216189
65	0.4294955802
66	0.4277674593
67	0.4267880249
68	0.4260333521
69	0.4250536029
70	0.4240393068
71	0.4228109008
72	0.4224044176
73	0.4217751163
74	0.4214315603
75	0.4206467861
76	0.4197889852
77	0.4188959627
78	0.4183094599
79	0.4172616618
80	0.4168298449
81	0.4163547416
82	0.4155673271
83	0.4149929859
84	0.4138200616
85	0.4128779059
86	0.4118331834
87	0.4111651245
88	0.4107077364
89	0.4101320211
90	0.4092312908
91	0.4087724087
92	0.4084541725
93	0.4079144785
94	0.4071898833
95	0.4060422079
96	0.4054474531
97	0.4049164891
98	0.4040966341
99	0.403666085
