iter	Passed	Remaining
0	0	58
1	1	51
2	1	47
3	2	50
4	2	50
5	3	48
6	3	47
7	4	47
8	4	46
9	4	42
10	5	41
11	5	40
12	6	40
13	6	39
14	6	39
15	7	38
16	7	37
17	8	37
18	8	36
19	9	36
20	9	35
21	10	35
22	10	35
23	11	35
24	11	34
25	11	33
26	12	32
27	12	32
28	12	31
29	13	30
30	13	30
31	14	29
32	14	29
33	14	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	27
39	17	26
40	18	26
41	18	25
42	18	25
43	19	24
44	19	24
45	20	23
46	20	23
47	21	23
48	21	22
49	22	22
50	22	21
51	23	21
52	23	20
53	24	20
54	24	20
55	25	19
56	25	19
57	25	18
58	26	18
59	27	18
60	27	17
61	27	16
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	13
69	31	13
70	31	13
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	39	4
89	40	4
90	41	4
91	41	3
92	42	3
93	42	2
94	43	2
95	43	1
96	44	1
97	44	0
98	44	0
99	45	0
